Sample,GeneOrder,Species
ANT178,A,Dichotella
ANT179,A,Sinularia penguensis
ANT188,A,Eunicea flexuosa
ANT275,A,Subergorgia
ANT276,A,Homophyton
ANT277,A,Parasphaerasclera sp.
ANT028,A,Heliopora coerulea
ANT079,A,Nanipora sp.
ANT032,A,Virgularia schultzei
ANT058,A,Halipteris finmarchica
ANT059,A,Kophobelemnon sp.
ANT074,A,Veretillum
ANT078,A,Distichoptilum gracile
ANT111,A,Renilla muelleri
ANT285,A,Anthomastus grandiflorus
ANT287,A,Pseudoanthomastus
ANT288,A,Pseudoanthomastus
